gender,cibil_score,job_stability_months,education_level,income_regularity_score,app_session_duration_sec,form_paste_count,form_typing_speed_wpm,linkedin_tenure_months,public_footprint_score,utility_bill_on_time_ratio,avg_monthly_savings_ratio,default_target
0,612,82,1,0.3253674366103353,872,3,46.2553472996533,0,0.6087698767940662,0.8052709261009802,0.37489037175801443,0
1,818,16,0,0.7932138018615922,125,2,39.76617410338481,94,0.6094136648209864,0.7804851976625948,0.49601329988883336,0
1,505,4,0,0.6795427136883349,143,2,60.98864680727436,90,0.29615301703249686,0.6144084221573336,0.0664975539670627,0
1,674,12,1,0.24605749224223772,898,0,32.03538427455795,43,0.6287277793161458,0.6990387007681818,0.35764769797401896,0
0,750,29,1,0.8219565026027289,458,1,46.730096855907554,99,0.4112909649769554,0.7839944977024713,0.48954159651676277,0
0,478,7,0,0.5064642250665481,569,1,71.75250019944434,61,0.6753834269907696,0.4716557612838222,0.23129651362223497,0
0,509,14,1,0.4643047474637101,847,0,49.669479261455876,60,0.36194024230498145,0.5377071486723365,0.3667052217130063,0
1,799,119,0,0.5584601212653075,31,2,33.05218038444686,90,0.6330626128644188,0.9342976923917097,0.4876853252727151,0
1,763,12,2,0.4769400618449033,241,1,50.212736973403636,78,0.7914790371132308,0.6053958259294685,0.27374244695299815,0
1,423,99,1,0.47062847376792727,609,0,81.48040462770186,88,0.982142898131744,0.8806938291518231,0.3495207973515507,0
0,412,5,0,0.8464621341605005,669,0,45.588408455427476,78,0.9199612508245816,0.5505938514022864,0.010042405006047972,0
1,311,81,1,0.29960420349255384,362,0,56.90431121592065,82,0.5531848725947071,0.42498421092161315,0.2598325528132221,0
1,425,106,1,0.9764800542859668,53,4,45.07773726530485,49,0.5395141749858563,0.7002403554840457,0.1279002030209711,0
0,630,32,0,0.6439453154994746,794,5,49.13176647544971,74,0.4939300053421739,0.9354892261374919,0.06562232117527106,0
0,582,74,1,0.3463391987370503,397,3,43.8261717669979,40,0.1249755381897746,0.8915707294852826,0.35429904234066395,0
0,439,43,0,0.30497238634534923,771,2,29.729331938924044,32,0.2493590477376355,0.551763501354694,0.019544744454170926,1
0,700,81,0,0.6732076257079861,535,1,50.60936794589734,86,0.1532701794736502,0.9459614646546082,0.45243257578852886,0
1,396,69,0,0.7063995550775424,205,1,26.654783078478278,11,0.7267195762977887,0.687829536949782,0.25888682993542117,0
0,816,45,1,0.24242061682384863,458,1,40.31339787319833,1,0.471911185196349,0.42939940227320206,0.3241150575946894,0
0,368,106,0,0.3944015313030287,762,1,73.67548408290801,20,0.15739289025886863,0.4167547718606511,0.12671739956313322,0
1,417,9,1,0.836369536977174,471,0,43.920515205456205,13,0.721517569888483,0.691068240401995,0.09109650934464614,0
0,358,49,1,0.2396997021948204,577,0,31.151374434436207,33,0.6799922765451495,0.7277937134282897,0.12187681055600696,0
0,332,33,1,0.8840709311248289,543,0,48.61328400293253,78,0.7479665476214474,0.44794775234955425,0.11614649550214667,0
0,617,100,1,0.7265299812210668,390,2,36.69626983595553,84,0.6398507059854123,0.9533443922351074,0.4322508141467259,0
1,349,100,2,0.5475386074905639,303,0,46.629170370627314,63,0.24538560395255568,0.8309300970944938,0.39366970073122426,0
1,788,18,1,0.4771462791767327,206,1,27.35178039088135,22,0.15525306796795194,0.8807694150920451,0.42636826706201597,0
0,318,9,1,0.2153991710791152,293,2,56.6951252155795,84,0.8354268732043335,0.7504139507298109,0.36743602182919904,1
1,496,62,0,0.8601719566014745,215,0,46.86959015921772,49,0.29422809906927944,0.7981264456927089,0.3217751807322107,0
1,749,57,2,0.3141774831748305,556,1,29.971518739887962,13,0.5882763164267647,0.6327161378962722,0.26393734486533416,0
0,751,29,0,0.44763359348967047,308,0,50.395843877153666,84,0.5366953132589685,0.807578250966456,0.1327409131899544,0
1,588,114,1,0.6552855842902431,735,0,74.02766252945709,75,0.9289472863928627,0.9869097348425616,0.3526814788635579,0
0,440,78,1,0.3967940800570034,227,2,33.061888712494984,45,0.5971957847688686,0.7886295463665813,0.06829220260926333,0
0,383,25,0,0.5977123710017611,378,1,56.364428588963165,4,0.6220151968484356,0.6049802337239019,0.2555307717835604,0
1,690,15,0,0.847474262990962,450,1,51.26901990935263,65,0.3875545303442315,0.5711434734294807,0.09763738425280799,0
1,514,6,1,0.5764303478322199,334,2,51.049481145776795,21,0.9628252315917951,0.9780075645082378,0.2523796524397293,0
1,825,42,1,0.9591818752956769,93,0,58.503885348308486,69,0.6511364341653112,0.511001378264839,0.14695370643717748,0
0,514,29,1,0.8780004963010735,319,0,40.844982254942074,1,0.10448234523213228,0.8837179670017719,0.026739834768243154,0
0,702,79,2,0.4664313882907154,47,0,47.28502739740901,28,0.600474037361467,0.6791573752052553,0.25185450643198987,0
1,427,93,0,0.5199696996671502,93,2,46.4738852260229,60,0.42747884947468107,0.6662558526116804,0.09091510434997618,0
0,776,4,0,0.5386613816180217,359,0,32.16402617035688,99,0.128900983868949,0.8485226727873094,0.08057751628457654,0
0,703,82,1,0.7009435623396119,899,2,51.88196248910009,70,0.48839480695637605,0.4888230580275661,0.1921829488388494,0
1,328,114,1,0.42943658335083185,792,1,39.56337268364111,15,0.7962098395407667,0.6797775556869523,0.18089357892668168,0
0,637,57,1,0.975399311058007,46,1,72.45327614910812,63,0.5534105121607262,0.421500212660649,0.43347893280613414,0
1,660,49,0,0.6869473764828007,472,2,37.382106271939726,96,0.6755131775259953,0.8022440929068817,0.2823185114468544,0
0,691,44,1,0.5195213269929069,170,0,25.195378858076566,96,0.6757673191482853,0.4350263703721998,0.427283714067375,0
1,517,103,1,0.7160078523932538,337,3,61.80624347521879,13,0.7039173722350842,0.4523732786043322,0.07341782707103794,0
0,501,80,1,0.5163240084237661,473,1,33.836309082903426,42,0.44883657511171793,0.906895828737522,0.17865513502782204,0
1,316,75,1,0.8542365447835352,525,1,26.8006206591912,75,0.43300435515116054,0.6657731122095567,0.27766480880177485,0
1,621,14,1,0.654272768441377,455,0,50.81291937363218,42,0.10412607821074774,0.5205854131289456,0.07656403470497375,0
0,817,3,1,0.2335764027248536,504,5,64.98741539926041,69,0.23880021447602898,0.755550745573228,0.06402853316240276,1
1,624,115,0,0.3414054939387686,861,0,56.06021640087107,54,0.9557291915033965,0.7115699587507189,0.33070079910598843,0
1,711,114,0,0.8919951784236277,274,0,36.42379665872877,75,0.8581750442093887,0.6465449960457149,0.32691698540160086,0
